ocreval Word Accuracy Report Version 7.0
----------------------------------------
    6487   Words
    2953   Misrecognized
   54.48%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       0        0   ------    Total

Non-stopwords
   Count   Missed   %Right   Length
       1        1     0.00   الرحمن
       1        1     0.00   الرذاق
       2        0   100.00   الرسائل
       1        1     0.00   الرساميل
       1        0   100.00   الرضع
       1        1     0.00   الرقص
       1        1     0.00   الرقم
       1        1     0.00   الرهان
       1        0   100.00   الروابط
       1        0   100.00   الرومانة
       1        1     0.00   الروماني
       1        1     0.00   الرومي
       1        0   100.00   الري
       1        0   100.00   الرياضة
       1        1     0.00   الريحاني
       1        0   100.00   الريف
       1        0   100.00   الريفي
       1        0   100.00   الريفية
       1        0   100.00   الزاهية
       3        2    33.33   الزراعة
       2        1    50.00   الزراعي
       2        1    50.00   الزراعية
       1        1     0.00   الزعماء
       1        1     0.00   الزقاق
       1        0   100.00   الزمانية
       1        0   100.00   الزهراء
       1        0   100.00   الزيادات
       1        0   100.00   الزيوت
       1        0   100.00   السؤدد
       1        1     0.00   السائحين
       1        0   100.00   السائل
       2        1    50.00   السابع
       2        0   100.00   السابقة
       1        0   100.00   السامية
       1        1     0.00   السانى
       1        1     0.00   السباق
       1        0   100.00   الستار
       1        1     0.00   السحارين
       1        0   100.00   السر
       1        0   100.00   السطر
       2        0   100.00   السعود
       3        1    66.67   السعودية
       1        1     0.00   السفينة
       1        1     0.00   السقي
       5        2    60.00   السكان
       2        1    50.00   السلام
       2        1    50.00   السلطات
       2        1    50.00   السلطان
       2        1    50.00   السلطة
       1        1     0.00   السلطـان
       1        1     0.00   السلعة
       1        0   100.00   السلوك
       1        1     0.00   السمقانية
       1        0   100.00   السن
       3        0   100.00   السنة
       1        0   100.00   السنوات
       1        1     0.00   السنوي
       1        0   100.00   السنين
       1        0   100.00   السهل
       1        0   100.00   السودانيين
       2        1    50.00   السوري
       1        0   100.00   السورية
       1        1     0.00   السوفياتي
       1        1     0.00   السوفياتية
       1        1     0.00   السوفيايي
       1        0   100.00   السوق
       1        0   100.00   السويس
       1        1     0.00   السي
       1        1     0.00   السيئة
       1        1     0.00   السيادة
       1        1     0.00   السياسة
       1        1     0.00   السياسي
       1        1     0.00   السياسية
       3        3     0.00   السيد
       1        0   100.00   السيدة
       1        0   100.00   السير
       1        0   100.00   الشأن
       1        0   100.00   الشاعر
       2        0   100.00   الشاقة
       1        0   100.00   الشام
       1        0   100.00   الشامل
       1        0   100.00   الشان
       1        0   100.00   الشاهانى
       1        0   100.00   الشاهدان
       2        2     0.00   الشباب
       1        0   100.00   الشبهات
       1        0   100.00   الشتم
       1        0   100.00   الشخص
       1        0   100.00   الشخصية
       2        0   100.00   الشرطة
       5        3    40.00   الشرق
       2        0   100.00   الشركات
       1        0   100.00   الشروط
       1        1     0.00   الشروع
       1        0   100.00   الشريعة
       2        1    50.00   الشعب
       1        1     0.00   الشعبي
       1        1     0.00   الشعبية
       3        0   100.00   الشعر
       2        0   100.00   الشعوب
       1        0   100.00   الشكل
       1        1     0.00   الشمالية
       1        1     0.00   الشمس
       2        1    50.00   الشهابيين
       1        0   100.00   الشهادة
       1        1     0.00   الشهب
       1        0   100.00   الشهري
       1        1     0.00   الشهقة
       1        1     0.00   الشيء
