Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
		25065	53100		1.797	
		25099	53200		1.827	
		25129	53300		1.492	
		25150	53400		1.35	
		25176	53500		1.435	
		25201	53600		1.421	
		25226	53700		1.414	
		25251	53800		1.458	
		25284	53900		1.618	
		25317	54000		1.603	
		25345	54100		1.589	
		25379	54200		1.648	
		25408	54300		1.668	
		25441	54400		1.738	
		25476	54500		1.689	
		25503	54600		1.734	
		25536	54700		1.73	
		25567	54800		1.699	
		25605	54900		1.601	
		25647	55000		1.78	
		25683	55100		1.938	
		25718	55200		1.811	
		25746	55300		1.79	
		25776	55400		1.804	
		25803	55500		1.775	
		25825	55600		1.711	
		25861	55700		1.788	
		25894	55800		2.217	
		25931	55900		2.326	
		25963	56000		2.261	
		25990	56100		2.109	
		26020	56200		2.144	
		26042	56300		2.138	
		26074	56400		2.127	
		26101	56500		2.148	
		26131	56600		2.14	
		26169	56700		2.14	
		26197	56800		1.632	
		26228	56900		1.592	
		26257	57000		1.469	
		26285	57100		1.524	
		26320	57200		1.554	
		26350	57300		1.603	
		26376	57400		1.622	
		26399	57500		1.628	
		26436	57600		2.051	
		26460	57700		1.938	
		26495	57800		2.022	
		26526	57900		1.966	
		26560	58000		1.944	
		26590	58100		1.884	
		26612	58200		1.855	
		26640	58300		2.082	
		26671	58400		2.088	
		26697	58500		2.103	
		26725	58600		1.875	
		26769	58700		1.976	
		26800	58800		1.924	
		26835	58900		1.899	
		26867	59000		1.965	
		26898	59100		1.981	
		26924	59200		1.92	
		26954	59300		1.676	
		26980	59400		1.592	
		27014	59500		1.61	
		27037	59600		1.393	
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
JSTORArabic	35.281	94	100			
JSTORArabic	25.923	189	200			
JSTORArabic	24.001	279	300			
JSTORArabic	21.755	370	400			
JSTORArabic	20.47	549	600			
JSTORArabic	19.722	726	800			
JSTORArabic	19.001	821	900			
JSTORArabic	17.638	989	1100			
JSTORArabic	16.973	1351	1500			
JSTORArabic	15.736	1530	1700			
JSTORArabic	15.127	1950	2200			
JSTORArabic	14.631	2469	2800			
JSTORArabic	14.075	2550	2900			
JSTORArabic	12.717	2801	3200			
JSTORArabic	11.792	3123	3600			
JSTORArabic	10.937	4239	5100			
JSTORArabic	10.393	4427	5400			
JSTORArabic	9.961	5988	7700			
JSTORArabic	9.447	6049	7800			
JSTORArabic	8.455	6447	8400			
JSTORArabic	8.083	6919	9100			
JSTORArabic	6.833	7159	9500			
JSTORArabic	6.483	7288	9700			
JSTORArabic	6.082	7667	10300			
JSTORArabic	5.696	8310	11300			
JSTORArabic	5.365	8366	11400			
JSTORArabic	5.162	8422	11500			
JSTORArabic	4.938	8480	11600			
JSTORArabic	4.685	8533	11700			
JSTORArabic	4.472	9425	13200			
JSTORArabic	4.269	9484	13300			
JSTORArabic	4.081	10696	15400			
JSTORArabic	3.78	10839	15700			
JSTORArabic	3.506	10874	15800			
JSTORArabic	3.361	11024	16100			
JSTORArabic	3.199	11950	17900			
JSTORArabic	2.935	11990	18000			
JSTORArabic	2.74	13846	22100			
JSTORArabic	2.574	13974	22400			
JSTORArabic	2.394	14773	24200			
JSTORArabic	2.145	16456	28300			
JSTORArabic	2.052	16523	28500			
JSTORArabic	1.847	18843	34600			
JSTORArabic	1.786	21066	40900			
JSTORArabic	1.636	21148	41200			
JSTORArabic	1.522	23140	47100			
JSTORArabic	1.466	23190	47300			
JSTORArabic	1.401	23220	47400			
JSTORArabic	1.35	25150	53400			
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
		5520		9.2654712		
		9543		10.164149		
		11990		4.7755841		
		13013		4.1754845		
		13282		3.9369857		
		13562		3.6122929		
		14807		3.6402564		
		15885		3.6818587		
		15959		3.8105688		
		16139		3.8439283		
		16560		3.6518159		
		17644		3.4958938		
		17723		3.6361784		
		18933		3.6665632		
		20017		3.5587947		
		21148		3.4026206		
		22176		3.8182502		
		23220		3.4133034		
		24220		3.5934901		
		24846		3.5452751		
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	9.961	5988	7700			8.8157761
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	9.447	6049	7800			9.0569912
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	8.455	6447	8400			8.4571846
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	8.083	6919	9100			7.5413401
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	6.833	7159	9500			6.6512956
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	6.483	7288	9700			6.4922246
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	6.082	7667	10300			6.1026748
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	5.696	8310	11300			5.6255366
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	5.365	8366	11400			5.6871078
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	5.162	8422	11500			5.5603122
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	4.938	8480	11600			5.759761
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	4.685	8533	11700			5.7162624
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	4.472	9425	13200			4.5836101
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	4.269	9484	13300			4.8016467
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	4.081	10696	15400			4.1798259
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	3.78	10839	15700			4.0592349
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	3.506	10874	15800			3.9075604
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	3.361	11024	16100			4.0265882
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	3.199	11950	17900			3.7203261
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	2.935	11990	18000			4.2158964
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	2.74	13846	22100			3.5767613
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	2.574	13974	22400			3.4238884
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	2.394	14773	24200			3.5497362
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	2.145	16456	28300			3.5753898
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	2.052	16523	28500			3.4712499
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	1.847	18843	34600			3.3000491
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	1.786	21066	40900			3.4639231
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	1.636	21148	41200			3.3155676
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	1.522	23140	47100			3.3747525
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	1.466	23190	47300			3.2688875
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	1.401	23220	47400			3.1991457
Filename : ../data/JSTORArabic/tessdata_fast/JSTORArabic	1.35	25150	53400			3.5503912
